layer,head,auc
14,3,0.6586120885483941
10,1,0.6585898178254866
17,1,0.6574317402342879
6,7,0.6572535744510266
0,1,0.6567190771012427
21,6,0.6563850162576277
11,8,0.6558727896307515
25,3,0.6553382922809674
10,8,0.6549596899915371
18,11,0.6549374192686294
20,8,0.6548260656540912
11,4,0.6543138390272148
20,2,0.6542692975813996
10,0,0.6536902587858001
12,4,0.6528662420382166
11,11,0.6527994298694936
15,4,0.6526212640862322
24,0,0.6525321811946017
17,8,0.6496592579395127
11,0,0.6482784731192375
10,2,0.6475880807090999
9,4,0.6463631909491782
9,1,0.6456727985390405
9,2,0.6453610084183333
24,3,0.6449601354059953
20,3,0.6444924502249343
19,9,0.6442920137187653
23,6,0.6438911407064273
20,4,0.6436684334773507
22,3,0.643111665404659
10,4,0.642710792392321
26,4,0.6420872121509065
18,8,0.6418645049218298
1,5,0.6415972562469379
8,3,0.6414636319094918
21,7,0.6408177809451694
12,8,0.6396151619081555
18,7,0.6390361231125563
24,6,0.6386352501002183
19,4,0.637254465279943
7,0,0.637254465279943
24,11,0.6364527192552669
9,11,0.636051846242929
17,9,0.6360295755200214
7,3,0.6360073047971136
21,8,0.6357400561222217
10,9,0.6355841610618681
23,7,0.6354950781702375
25,10,0.6353169123869762
14,1,0.6339361275667008
8,6,0.6334461716627321
1,4,0.6334239009398244
1,2,0.6332680058794709
19,6,0.6327557792525945
20,9,0.6325776134693332
21,4,0.6321767404569951
9,8,0.6304173533472897
6,0,0.6302169168411207
7,2,0.6279898445503541
19,10,0.6277225958754622
15,3,0.6272994521402164
21,5,0.6272103692485858
1,11,0.6270990156340475
21,3,0.627054474188232
24,9,0.6261859159948331
5,0,0.6251169212952652
22,4,0.6244933410538506
9,7,0.6242929045476817
14,4,0.6232907220168367
7,4,0.6230234733419446
1,1,0.6222885394859917
21,11,0.6211750033406085
6,8,0.6205068816533785
6,9,0.6201950915326712
8,7,0.6197496770745179
23,11,0.6194378869538104
24,7,0.6192374504476416
25,0,0.6181016435793506
17,11,0.6173221682775822
5,9,0.617210814663044
10,5,0.6153623446617077
20,7,0.6153400739388001
24,8,0.6140929134559708
7,1,0.6136697697207252
26,11,0.6134247917687408
9,3,0.6126675871898801
26,9,0.6124894214066189
21,10,0.6122667141775422
6,6,0.6117099461048505
17,10,0.6116654046590353
23,1,0.6115540510444969
3,1,0.610819117188544
17,6,0.6107300342969133
3,5,0.6106632221281901
20,11,0.6105295977907442
9,9,0.6105073270678366
3,4,0.6102400783929446
4,8,0.6098614761035144
7,9,0.6092601665850073
22,2,0.6087702106810388
26,8,0.6083693376687007
26,7,0.6083025254999778
6,5,0.6082357133312547
0,8,0.6082134426083471
0,0,0.6075675916440249
9,0,0.6075007794753018
1,0,0.6074116965836711
2,9,0.6070330942942408
6,3,0.604360607545321
26,10,0.603425237183199
2,4,0.6028907398334149
3,2,0.602623491158523
7,8,0.6025344082668923
4,11,0.602423054652354
21,1,0.6014876842902321
2,0,0.6012649770611554
18,6,0.6011758941695247
5,4,0.600685938265556
22,0,0.6006636675426484
23,10,0.6005745846510178
25,11,0.6000623580241413
8,5,0.5997505679034342
3,8,0.5996837557347112
27,0,0.5989933633245734
8,11,0.5987706560954968
26,2,0.59816934657699
23,2,0.5981248051311745
5,2,0.596098169346577
23,8,0.5960536279007617
25,2,0.5945392187430404
7,6,0.594227428622333
4,5,0.5933811411518417
3,7,0.5933588704289341
5,5,0.5928021023562425
4,6,0.5927130194646119
0,7,0.5926239365729812
2,10,0.5913545053672442
20,5,0.5909981738007215
21,9,0.5909313616319986
4,10,0.5907086544029219
27,8,0.5906641129571066
27,6,0.5906418422341989
3,10,0.5891942452452006
1,3,0.589171974522293
2,11,0.5890606209077547
8,8,0.588971538016124
23,9,0.5882588748830787
1,9,0.5882143334372634
8,9,0.5872789630751414
6,2,0.5870562558460647
5,8,0.586499487773373
4,7,0.5858981782548662
6,11,0.5850964322301901
9,5,0.5848291835552982
21,0,0.5841387911451605
6,10,0.5840719789764376
2,1,0.5838938131931762
3,3,0.5836042937953766
3,9,0.5828916306623313
0,5,0.5826243819874393
27,5,0.5820230724689324
